회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 진영, 그룹
내레이버섯커, 102, 592, 32470508, 254498, 5195, 1130542, 150049668, 747946, 50699, 2998433, 32680, 서촉, 그룹 없음
불세출미르, 112, 649, 32391699, 257227, 19366, 0, 123982599, 681706, 62027, 1391786, 24432, 서촉, 하마
원통사, 33, 233, 32302887, 440125, 298, 0, 187733121, 1496495, 39898, 127378, 35100, 사예, 주점
武집게리아, 159, 878, 32223088, 202183, 400, 0, 110155500, 460943, 4606, 448705, 26620, 사예, 질주
더블샷콘파냐, 155, 862, 31971856, 168069, 2276, 0, 158866810, 452479, 29710, 636633, 30760, 서촉, 하마
無限아가릿, 187, 1091, 31910317, 97303, 12309, 0, 87397456, 192172, 39542, 597207, 26300, 서촉, 무한
众헤리티지, 56, 356, 31857117, 356777, 183, 0, 155307703, 1108655, 46797, 476178, 29450, 사예, 주점
SP전설방패, 181, 997, 31555945, 145514, 350, 0, 177656059, 307130, 30907, 1888351, 33820, 사예, 전룡제후
無限조운, 7, 78, 31012988, 636553, 1002, 0, 219073342, 2182996, 7070, 319128, 35070, 사예, 무한
無限사장, 99, 579, 30662193, 289135, 8551, 0, 135997855, 813707, 32317, 316089, 25569, 서촉, 무한
無限성난태균, 83, 481, 30660165, 345103, 402, 0, 141282090, 966799, 28725, 860149, 31200, 사예, 무한
巛운서, 107, 614, 30567446, 292536, 707, 1242331, 159062732, 760134, 31028, 4318026, 35110, 사예, 질주
통도사, 15, 104, 30195130, 576473, 739, 0, 195121597, 1971959, 23821, 493921, 36756, 사예, 주점
巛태리, 103, 595, 29971673, 260475, 0, 0, 128096489, 772441, 37433, 859810, 33443, 사예, 질주
無限오리꽥꽥, 136, 768, 29829889, 190831, 302, 1151310, 143411223, 538105, 53180, 2647614, 31590, 사예, 무한
巛키리야스, 60, 373, 29662072, 339887, 1113, 0, 154498873, 1066483, 43119, 1291405, 36380, 사예, 질주
YUNONE, 71, 422, 29576680, 345628, 6413, 0, 142265929, 1028257, 51418, 305665, 27683, 사예, 주점
無帝제갈송, 117, 675, 29545327, 283026, 101, 0, 163942275, 714204, 3597, 121722, 38210, 사예, 그룹 없음
無限워니쭈니, 61, 381, 29057485, 345779, 328, 0, 173843897, 1073680, 36261, 709257, 33770, 사예, 무한
마스터농부, 43, 285, 29036449, 402658, 700, 99713, 143880729, 1269171, 50811, 701554, 32490, 사예, 영농조합
無帝곰탈여우, 88, 505, 28744128, 261498, 9153, 0, 145081086, 851061, 70649, 0, 33096, 서촉, 그룹 없음
아련한농부, 74, 432, 28514818, 294101, 1221, 0, 143147436, 1013589, 17130, 0, 25340, 사예, 영농조합
푸른해, 31, 213, 28490572, 428604, 5075, 0, 174919045, 1527842, 54532, 251337, 36790, 서촉, 하마
달빛군주, 72, 423, 28394139, 375421, 2593, 0, 188518362, 1002600, 19331, 485583, 37383, 서촉, 하마
기미사, 51, 324, 28356761, 464308, 754, 0, 162547093, 1218922, 30623, 625580, 32400, 사예, 주점
巛한라, 11, 96, 28353220, 564825, 1374, 0, 184452176, 1994792, 43478, 500240, 31280, 사예, 질주
