회원, 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 진영, 그룹
늑대와농부, 194, 10027929, 0, 2999, 0, 14995351, 0, 2999, 0, 18090, 서촉, 영농조합
友조르바, 105, 9803985, 0, 16945, 0, 10807032, 0, 17295, 0, 10980, 서촉, 그룹 없음
누이새참농부, 151, 9393076, 0, 11818, 0, 12555946, 0, 11818, 4109, 14543, 서촉, 영농조합
巛태리, 84, 8795111, 0, 16526, 0, 13053901, 0, 16526, 0, 16750, 파군, 그룹 없음
無限koko, 87, 8755493, 0, 19134, 0, 12302038, 0, 19134, 13426, 14460, 서촉, 무한
兄용왕고래, 157, 7416822, 0, 10143, 0, 8297259, 0, 10143, 0, 11710, 서촉, 하마
듀크라이너, 190, 7386217, 0, 3297, 0, 7386217, 0, 3297, 0, 9670, 파군, 하마
홍프로님, 198, 7279602, 0, 707, 0, 9281740, 0, 707, 0, 12663, 파군, 하마
無限마쉬, 137, 7233384, 0, 13902, 224835, 8558895, 0, 13902, 224835, 13300, 파군, 무한
巛양고기, 193, 6615874, 0, 101, 0, 6615874, 0, 101, 0, 10543, 파군, 그룹 없음
無限회남자, 125, 6531397, 0, 13340, 226399, 7969614, 0, 13340, 239025, 12650, 파군, 무한
아이유애나, 135, 6522565, 0, 16376, 116211, 8191516, 0, 16376, 116211, 12610, 파군, 하마
弓꽃노숙, 196, 6419043, 0, 497, 0, 7215918, 0, 497, 0, 13660, 파군, 하마
武집게리아, 195, 6083599, 0, 1716, 0, 6083599, 0, 1716, 0, 8590, 파군, 그룹 없음
군주봉, 188, 6035354, 0, 3459, 0, 6035354, 0, 3459, 0, 12220, 파군, 하마
천신공, 46, 5086614, 0, 26447, 212738, 7045312, 0, 26447, 212738, 9826, 파군, 그룹 없음
정경, 169, 3818729, 0, 11125, 0, 4302061, 0, 11475, 0, 8660, 파군, 하마
공대생농부, 197, 3185859, 0, 1300, 0, 3342225, 0, 1300, 0, 8249, 서촉, 영농조합
無限아가릿, 192, 2560494, 0, 2217, 0, 2560494, 0, 2217, 0, 16490, 파군, 무한
無限거지왕초, 185, 2348475, 0, 4957, 0, 2693394, 0, 4957, 0, 14150, 파군, 무한
無帝제갈송, 200, 1909242, 0, 0, 0, 1909242, 0, 0, 0, 6060, 파군, 그룹 없음
너혼자레벨업, 134, 1331954, 0, 14381, 0, 1331954, 0, 14381, 0, 6280, 파군, 하마
巛순신, 187, 477744, 0, 4032, 0, 3780425, 0, 4032, 0, 8760, 파군, 그룹 없음
로이丶, 199, 206814, 0, 0, 0, 594074, 0, 0, 0, 1880, 파군, 하마
