회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 주, 그룹
친절한백리단, 62, 476, 1304610, 3260, 0, 0, 71828974, 114052, 29392, 283405, 25520, 양양, 인연別
锋YONe, 128, 741, 1250027, 5677, 0, 0, 53672116, 62834, 21783, 325711, 22250, 양양, 그룹 없음
SP전설방패, 196, 1195, 1228275, 0, 0, 0, 50478101, 8884, 3129, 180824, 19320, 양양, 그룹 없음
SP응삼이, 97, 629, 1205256, 0, 0, 0, 56088439, 94182, 22799, 519312, 21590, 양양, 그룹 없음
민회장, 153, 871, 1202430, 24053, 0, 0, 56262630, 61578, 10008, 0, 20820, 양양, 신의악단
無限알파, 56, 462, 1192050, 14196, 0, 0, 68145190, 129965, 21483, 251309, 22290, 양양, 그룹 없음
無限혜원, 199, 1287, 1184004, 0, 0, 0, 9636311, 0, 1502, 0, 11403, 강동, 그룹 없음
SP부엉이, 69, 509, 1159725, 7978, 0, 0, 62401788, 123448, 22040, 53301, 24740, 양양, 그룹 없음
新홍주, 34, 368, 1116930, 23307, 50, 0, 75540951, 174898, 21125, 133920, 22303, 양양, 신의악단
別난곡사마, 175, 942, 1106868, 10364, 0, 0, 60309075, 43024, 8824, 257253, 22330, 양양, 인연別
別삼봉, 61, 475, 1087077, 3457, 0, 0, 82166894, 145277, 23250, 204438, 24100, 양양, 인연別
羊그루루루루, 86, 582, 1083225, 13901, 0, 0, 66193244, 113504, 15918, 5607, 23870, 양양, 그룹 없음
緣心삼성우승, 127, 738, 1076646, 4340, 0, 0, 38856570, 57990, 18049, 358681, 21970, 양양, 인연別
緣아츠, 104, 651, 1068000, 2189, 35, 0, 50216373, 81909, 17826, 24257, 21663, 양양, 인연別
無限비즈마키, 171, 913, 1062294, 569, 0, 0, 31347827, 38602, 16307, 565334, 15640, 양양, 그룹 없음
新마주, 143, 805, 1023447, 851, 385, 0, 53399038, 42852, 30752, 414319, 20630, 양양, 신의악단
緣무순펭귄, 93, 606, 1021281, 0, 0, 0, 71378713, 100382, 14269, 444943, 23920, 양양, 인연別
無帝제갈송, 174, 936, 1013487, 1984, 0, 0, 39039977, 32665, 21982, 343745, 18430, 양양, 그룹 없음
別모략가, 89, 593, 991851, 12695, 0, 0, 78812583, 98507, 26558, 444320, 28030, 양양, 인연別
新순하리, 122, 726, 942765, 5865, 0, 0, 35362806, 72193, 20493, 0, 16470, 양양, 신의악단
마스터농부, 36, 377, 888819, 485, 0, 0, 66997041, 144967, 27440, 272977, 22263, 양양, 그룹 없음
SP파주형, 169, 903, 881235, 2300, 0, 0, 37462449, 27930, 27841, 165123, 17153, 양양, 그룹 없음
锋솨, 103, 647, 879210, 0, 0, 0, 64360045, 90441, 17963, 377423, 25763, 양양, 그룹 없음
緣심바차차, 100, 638, 849048, 10245, 0, 0, 56258041, 82411, 31059, 438169, 22970, 양양, 인연別
锋피셜, 84, 576, 839190, 4984, 0, 0, 60800943, 88669, 23239, 238279, 22590, 양양, 그룹 없음
어머나농부, 118, 708, 826701, 9994, 0, 0, 48379112, 83466, 10343, 81551, 20315, 양양, 그룹 없음
SP하노이, 16, 247, 782604, 2360, 0, 0, 74731952, 214201, 25435, 447198, 27793, 양양, 그룹 없음
친절한땡깡, 70, 535, 770958, 1394, 0, 0, 62003528, 108759, 26382, 267414, 26510, 양양, 인연別
SP은마아팟, 98, 630, 769414, 5719, 0, 136010, 51698905, 89262, 24607, 359014, 21800, 양양, 그룹 없음
無帝라면, 83, 573, 768014, 10722, 0, 0, 60239602, 112621, 23641, 266765, 22270, 양양, 그룹 없음
無限아이스, 181, 986, 767004, 2040, 0, 0, 42248328, 32212, 12575, 246140, 22510, 양양, 그룹 없음
